Itr: 252, Loss: 0.06901279091835022, L_s: 0.06899873912334442, L_vlb: 0.014053727500140667
Itr: 253, Loss: 0.026441531255841255, L_s: 0.026415269821882248, L_vlb: 0.02626148611307144
Itr: 254, Loss: 0.027237148955464363, L_s: 0.02723686769604683, L_vlb: 0.0002810423611663282
Itr: 255, Loss: 0.04961108788847923, L_s: 0.04961036145687103, L_vlb: 0.0007245884626172483
Itr: 256, Loss: 0.08221637457609177, L_s: 0.0822099968791008, L_vlb: 0.00638029957190156
Itr: 257, Loss: 0.04883622005581856, L_s: 0.04883574694395065, L_vlb: 0.00047467657714150846
Itr: 258, Loss: 0.029203418642282486, L_s: 0.029203172773122787, L_vlb: 0.0002461625845171511
Itr: 259, Loss: 0.03276585415005684, L_s: 0.03276551514863968, L_vlb: 0.000339968828484416
Itr: 260, Loss: 0.030390089377760887, L_s: 0.03038979321718216, L_vlb: 0.00029650298529304564
Itr: 261, Loss: 0.04182375967502594, L_s: 0.041823070496320724, L_vlb: 0.0006903594476170838
Itr: 262, Loss: 0.023951370269060135, L_s: 0.02395104244351387, L_vlb: 0.0003279529046267271
Itr: 263, Loss: 0.010821426287293434, L_s: 0.010821357369422913, L_vlb: 6.853944796603173e-05
Itr: 264, Loss: 0.017746925354003906, L_s: 0.017746783792972565, L_vlb: 0.0001420522021362558
Itr: 265, Loss: 0.04611344635486603, L_s: 0.04611232131719589, L_vlb: 0.0011231822427362204
Itr: 266, Loss: 0.012996579520404339, L_s: 0.0129964929074049, L_vlb: 8.646327478345484e-05
Itr: 267, Loss: 0.025514204055070877, L_s: 0.025514012202620506, L_vlb: 0.00019227355369366705
Itr: 268, Loss: 0.027319299057126045, L_s: 0.027318647131323814, L_vlb: 0.0006525336066260934
